age,screen_time,social_media,gaming,short_video,phone_unlocks,notifications,night_usage,sleep,focus_time,exercise,stress,productivity,entertainment_hours,total_recreational_screen_time,night_usage_ratio,focus_to_screen_ratio,sleep_deficit_indicator,usage_intensity,risk_level,wellbeing_score
22,15.0,8.0,0.1,2.6,12,87,2.8,10.0,1.4,3,9,2,2.7,10.7,0.187,0.093,0.0,20.7,Moderate,33.1
28,1.8,4.5,4.6,1.6,93,198,4.2,7.2,3.7,94,10,2,6.2,10.7,1.0,1.0,0.3,112.8,Moderate,59.5
30,9.1,2.6,5.4,5.3,165,205,2.6,9.9,0.3,72,10,5,10.7,13.3,0.286,0.033,0.0,185.5,High,53.6
26,11.6,1.8,2.6,0.2,160,220,3.0,5.6,6.3,111,6,9,2.8,4.6,0.259,0.543,1.9,182.0,Moderate,70.8
44,14.1,2.8,3.2,5.5,185,32,2.2,6.2,7.1,32,9,4,8.7,11.5,0.156,0.504,1.3,188.2,Moderate,49.7
19,11.7,3.0,2.9,5.0,179,233,4.1,8.3,5.5,36,4,6,7.9,10.9,0.35,0.47,0.0,202.3,Moderate,65.7
28,13.0,0.5,2.3,1.8,116,239,4.6,8.5,2.1,52,5,2,4.1,4.6,0.354,0.162,0.0,139.9,High,55.0
22,6.1,3.0,5.3,4.7,177,305,3.2,4.6,1.0,100,2,4,10.0,13.0,0.525,0.164,2.9,207.5,High,60.8
42,13.2,3.7,5.4,0.2,143,263,4.1,9.5,3.1,23,3,9,5.6,9.3,0.311,0.235,0.0,169.3,Moderate,62.0
34,2.2,5.8,2.0,5.8,29,277,0.3,9.1,6.7,88,1,2,7.8,13.6,0.136,1.0,0.0,56.7,Moderate,84.3
37,14.4,5.3,3.7,3.2,148,77,4.5,3.1,2.8,50,4,1,6.9,12.2,0.312,0.194,4.4,155.7,High,38.4
43,9.2,5.7,5.6,1.8,105,55,0.9,3.9,0.3,40,2,4,7.4,13.1,0.098,0.033,3.6,110.5,Moderate,54.3
17,13.3,0.1,5.8,2.2,133,347,1.3,6.5,2.2,28,2,4,8.0,8.1,0.098,0.165,1.0,167.7,High,58.9
25,7.8,1.7,3.1,0.4,164,212,0.3,6.2,7.9,58,1,1,3.5,5.2,0.038,1.0,1.3,185.2,Moderate,73.2
28,10.7,5.3,2.7,5.9,30,69,4.8,8.0,5.4,39,10,4,8.6,13.9,0.449,0.505,0.0,36.9,High,54.0
40,8.9,3.9,1.7,0.2,123,51,4.3,3.6,7.2,50,2,3,1.9,5.8,0.483,0.809,3.9,128.1,High,60.8
36,12.0,0.0,5.8,3.9,22,117,4.6,7.5,6.2,49,4,2,9.7,9.7,0.383,0.517,0.0,33.7,Low,68.1
21,2.2,6.4,0.9,2.7,95,62,4.2,7.3,4.3,110,6,10,3.6,10.0,1.0,1.0,0.2,101.2,Moderate,77.9
43,1.9,6.2,3.5,5.7,44,329,2.4,4.6,1.2,35,7,4,9.2,15.4,1.0,0.632,2.9,76.9,High,57.8
43,4.7,4.4,1.7,1.5,56,66,4.6,6.8,2.8,78,7,8,3.2,7.6,0.979,0.596,0.7,62.6,Low,72.1
27,3.4,0.5,1.7,3.2,165,289,4.8,4.6,4.7,108,7,7,4.9,5.4,1.0,1.0,2.9,193.9,Moderate,68.8
27,14.1,6.1,2.4,2.9,158,330,2.5,4.0,7.0,59,4,9,5.3,11.4,0.177,0.496,3.5,191.0,High,62.6
35,4.3,4.7,6.0,4.2,155,82,0.9,7.0,2.1,17,5,8,10.2,14.9,0.209,0.488,0.5,163.2,Moderate,71.0
26,15.6,6.3,0.3,0.4,168,38,3.3,9.8,1.0,19,3,1,0.7,7.0,0.212,0.064,0.0,171.8,High,38.0
41,6.1,6.0,3.5,1.2,197,120,4.9,4.7,4.5,4,1,2,4.7,10.7,0.803,0.738,2.8,209.0,High,47.7
38,3.7,6.4,0.5,1.3,134,56,4.4,5.5,1.4,17,8,2,1.8,8.2,1.0,0.378,2.0,139.6,Moderate,43.7
43,12.8,4.1,0.9,4.4,119,126,4.3,4.8,4.9,39,10,8,5.3,9.4,0.336,0.383,2.7,131.6,High,48.8
40,10.9,1.1,2.6,1.1,46,111,4.7,4.9,2.1,0,7,4,3.7,4.8,0.431,0.193,2.6,57.1,High,46.2
22,8.5,5.4,3.1,3.4,30,327,4.5,5.8,1.8,18,9,9,6.5,11.9,0.529,0.212,1.7,62.7,High,52.6
16,9.3,5.0,1.6,1.3,23,204,3.9,7.9,3.2,86,10,2,2.9,7.9,0.419,0.344,0.0,43.4,Moderate,54.0
16,11.8,5.9,1.9,5.2,100,235,3.6,3.3,4.7,25,4,4,7.1,13.0,0.305,0.398,4.2,123.5,High,50.5
40,4.4,1.4,0.5,5.7,69,47,1.3,9.7,4.4,112,5,1,6.2,7.6,0.295,1.0,0.0,73.7,Low,81.2
42,15.9,1.6,1.8,3.1,133,55,3.1,3.3,2.0,28,5,3,4.9,6.5,0.195,0.126,4.2,138.5,High,41.1
40,15.6,7.1,5.8,2.1,32,339,2.6,9.2,7.1,58,7,6,7.9,15.0,0.167,0.455,0.0,65.9,Moderate,61.5
35,10.8,6.0,5.7,1.4,120,37,4.3,9.3,0.9,62,9,9,7.1,13.1,0.398,0.083,0.0,123.7,High,54.0
28,4.0,7.3,2.0,0.3,133,215,2.5,6.7,0.3,97,8,1,2.3,9.6,0.625,0.075,0.8,154.5,Moderate,51.4
24,11.2,6.1,3.4,1.6,166,97,0.6,4.0,4.8,82,7,5,5.0,11.1,0.054,0.429,3.5,175.7,High,55.3
18,2.1,4.8,5.5,3.9,184,186,0.0,7.0,1.0,61,1,2,9.4,14.2,0.0,0.476,0.5,202.6,Low,67.1
22,1.5,5.2,0.0,3.2,39,109,3.4,7.4,4.0,47,10,7,3.2,8.4,1.0,1.0,0.1,49.9,Low,68.8
21,4.9,7.1,4.9,5.7,124,283,2.7,9.0,7.6,61,6,4,10.6,17.7,0.551,1.0,0.0,152.3,High,72.9
23,7.9,4.6,5.7,2.4,99,227,1.7,6.9,5.6,17,10,5,8.1,12.7,0.215,0.709,0.6,121.7,Moderate,59.4
42,14.0,5.1,0.5,4.2,47,231,0.8,5.9,4.9,65,9,8,4.7,9.8,0.057,0.35,1.6,70.1,High,62.9
24,11.9,1.3,1.0,2.9,92,290,2.3,8.9,4.6,26,7,2,3.9,5.2,0.193,0.387,0.0,121.0,Moderate,59.6
20,12.1,3.8,5.8,3.1,36,282,0.5,9.9,1.4,5,1,3,8.9,12.7,0.041,0.116,0.0,64.2,Moderate,59.2
16,7.4,5.7,3.2,1.6,113,292,1.7,7.5,3.5,102,9,5,4.8,10.5,0.23,0.473,0.0,142.2,Moderate,63.3
34,6.2,2.2,0.1,2.7,125,233,1.9,9.1,2.7,69,3,10,2.8,5.0,0.306,0.435,0.0,148.3,Moderate,86.3
25,6.6,1.6,1.5,2.8,24,83,2.3,7.2,7.6,58,9,4,4.3,5.9,0.348,1.0,0.3,32.3,Low,74.6
27,15.8,2.5,2.7,4.2,196,31,2.3,7.8,1.9,5,4,5,6.9,9.4,0.146,0.12,0.0,199.1,Moderate,49.3
39,1.6,1.9,4.2,5.6,12,229,1.3,7.8,3.8,30,9,3,9.8,11.7,0.812,1.0,0.0,34.9,Moderate,71.6
30,14.0,1.7,4.4,2.0,19,331,4.3,7.9,7.5,104,8,9,6.4,8.1,0.307,0.536,0.0,52.1,Moderate,70.7
42,9.7,3.4,6.0,0.3,129,193,1.8,5.2,6.3,103,7,8,6.3,9.7,0.186,0.649,2.3,148.3,Low,71.2
37,7.6,7.3,1.7,3.0,154,275,1.1,7.0,7.7,93,4,6,4.7,12.0,0.145,1.0,0.5,181.5,Moderate,75.2
39,11.9,4.1,3.2,3.3,137,120,0.9,7.2,4.9,55,9,1,6.5,10.6,0.076,0.412,0.3,149.0,Moderate,54.6
24,8.3,1.5,3.2,1.0,20,35,1.6,5.2,2.7,53,4,4,4.2,5.7,0.193,0.325,2.3,23.5,Low,72.1
35,14.1,0.6,2.4,4.6,185,216,0.3,5.4,6.6,84,1,7,7.0,7.6,0.021,0.468,2.1,206.6,Low,70.4
32,14.5,5.6,1.0,5.9,142,277,0.2,8.3,2.3,40,6,10,6.9,12.5,0.014,0.159,0.0,169.7,High,61.8
32,7.3,3.1,5.9,5.7,78,263,3.0,7.1,1.3,107,4,5,11.6,14.7,0.411,0.178,0.4,104.3,Moderate,71.3
41,5.2,6.6,5.1,1.2,73,268,3.1,4.0,5.7,17,10,4,6.3,12.9,0.596,1.0,3.5,99.8,High,51.9
35,9.9,5.3,3.0,5.3,23,124,2.6,8.9,5.1,86,3,9,8.3,13.6,0.263,0.515,0.0,35.4,Moderate,81.7
27,14.7,6.4,3.6,4.2,59,201,3.8,9.2,7.0,101,5,8,7.8,14.2,0.259,0.476,0.0,79.1,Moderate,68.3
22,4.2,2.2,1.4,2.7,163,174,0.2,6.3,7.7,22,3,3,4.1,6.3,0.048,1.0,1.2,180.4,Moderate,76.1
17,10.3,5.5,3.3,3.2,81,306,4.7,4.5,6.9,91,9,6,6.5,12.0,0.456,0.67,3.0,111.6,High,55.3
18,10.5,2.1,4.2,5.1,78,188,0.5,9.6,0.5,35,6,4,9.3,11.4,0.048,0.048,0.0,96.8,High,62.9
32,12.0,7.5,3.1,2.9,144,66,3.4,9.2,5.3,24,3,7,6.0,13.5,0.283,0.442,0.0,150.6,High,60.9
20,3.0,5.1,5.9,2.2,136,62,0.7,4.7,6.3,6,5,1,8.1,13.2,0.233,1.0,2.8,142.2,Moderate,62.9
32,11.7,2.6,3.7,3.0,25,340,4.4,3.7,7.9,81,8,1,6.7,9.3,0.376,0.675,3.8,59.0,High,52.7
39,14.6,2.2,2.2,3.5,192,325,2.6,6.1,3.0,19,8,6,5.7,7.9,0.178,0.205,1.4,224.5,High,45.6
32,3.7,1.5,4.6,1.1,87,240,0.4,7.7,1.4,4,6,10,5.7,7.2,0.108,0.378,0.0,111.0,Low,78.0
42,4.6,5.6,1.0,5.4,110,20,3.1,4.2,6.8,17,5,7,6.4,12.0,0.674,1.0,3.3,112.0,Moderate,67.9
32,15.6,1.7,2.3,4.0,65,219,0.0,6.6,2.5,105,5,9,6.3,8.0,0.0,0.16,0.9,86.9,Low,70.6
17,3.7,4.8,2.1,3.8,114,163,3.9,6.0,4.8,103,1,7,5.9,10.7,1.0,1.0,1.5,130.3,Low,77.9
17,13.8,2.1,2.6,0.6,141,47,3.3,9.2,3.1,32,2,9,3.2,5.3,0.239,0.225,0.0,145.7,Moderate,66.5
43,8.4,5.3,4.7,3.6,57,297,1.1,6.0,3.2,78,4,10,8.3,13.6,0.131,0.381,1.5,86.7,High,80.3
37,4.7,6.5,2.9,0.7,26,60,1.9,6.7,5.9,34,6,9,3.6,10.1,0.404,1.0,0.8,32.0,Low,80.2
38,14.1,6.2,4.8,0.5,120,166,0.0,9.7,2.9,110,7,8,5.3,11.5,0.0,0.206,0.0,136.6,Moderate,61.9
20,7.7,6.1,3.5,3.2,173,197,3.5,5.1,5.5,109,1,7,6.7,12.8,0.455,0.714,2.4,192.7,Moderate,67.8
16,8.7,1.5,2.1,2.4,79,334,1.6,5.0,0.1,64,8,3,4.5,6.0,0.184,0.011,2.5,112.4,Moderate,56.0
16,6.4,0.7,4.9,3.5,89,344,2.9,8.6,2.6,62,1,3,8.4,9.1,0.453,0.406,0.0,123.4,Low,75.4
34,9.9,5.6,1.4,0.5,102,186,4.8,4.9,2.6,84,9,5,1.9,7.5,0.485,0.263,2.6,120.6,High,47.0
17,3.5,2.9,1.3,2.6,47,142,1.5,8.8,6.0,71,4,7,3.9,6.8,0.429,1.0,0.0,61.2,Low,95.2
36,6.9,3.5,3.0,1.0,110,93,5.0,3.7,2.5,70,7,10,4.0,7.5,0.725,0.362,3.8,119.3,High,62.8
27,15.5,0.2,1.6,5.9,71,258,3.2,3.8,5.1,40,6,7,7.5,7.7,0.206,0.329,3.7,96.8,High,57.6
41,4.9,2.1,0.1,3.4,130,268,1.2,9.3,5.5,49,9,1,3.5,5.6,0.245,1.0,0.0,156.8,Moderate,69.9
21,10.9,0.3,3.9,4.1,57,282,2.2,6.8,5.3,107,2,8,8.0,8.3,0.202,0.486,0.7,85.2,Moderate,82.1
38,5.9,7.0,3.1,2.0,19,271,3.7,8.0,4.8,103,7,1,5.1,12.1,0.627,0.814,0.0,46.1,Moderate,64.3
19,12.6,1.9,2.7,0.6,45,130,2.2,4.6,3.3,103,5,4,3.3,5.2,0.175,0.262,2.9,58.0,Low,63.5
38,3.0,4.5,5.8,5.9,166,199,0.3,4.2,3.0,29,7,2,11.7,16.2,0.1,1.0,3.3,185.9,Moderate,56.2
26,15.5,0.3,3.4,1.7,13,207,0.8,8.8,4.5,37,1,5,5.1,5.4,0.052,0.29,0.0,33.7,Low,70.8
39,7.8,5.3,5.2,2.5,53,327,4.0,5.5,0.5,34,10,6,7.7,13.0,0.513,0.064,2.0,85.7,High,47.3
42,4.5,2.6,0.8,3.9,65,226,3.2,6.2,7.0,65,9,4,4.7,7.3,0.711,1.0,1.3,87.6,Low,72.6
32,2.1,7.2,3.4,0.1,51,253,2.8,3.2,6.6,45,1,4,3.5,10.7,1.0,1.0,4.3,76.3,Moderate,69.7
21,3.5,7.1,5.2,4.9,123,43,0.8,5.7,2.8,7,5,7,10.1,17.2,0.229,0.8,1.8,127.3,Moderate,65.2
39,8.8,2.6,3.5,3.2,150,45,4.2,8.4,4.5,101,8,4,6.7,9.3,0.477,0.511,0.0,154.5,Moderate,62.5
20,6.1,7.2,4.3,1.7,183,237,4.8,8.7,7.5,67,1,2,6.0,13.2,0.787,1.0,0.0,206.7,High,64.8
35,13.4,8.0,2.2,0.4,170,29,0.2,7.9,2.2,36,7,4,2.6,10.6,0.015,0.164,0.0,172.9,Moderate,46.5
17,7.5,6.6,0.6,1.0,30,36,0.4,7.8,5.9,84,2,7,1.6,8.2,0.053,0.787,0.0,33.6,Low,84.7
21,4.7,6.8,2.7,5.4,88,264,4.4,6.5,0.7,12,7,1,8.1,14.9,0.936,0.149,1.0,114.4,High,44.8
37,10.3,2.0,2.4,4.1,194,225,4.1,6.8,4.2,72,7,4,6.5,8.5,0.398,0.408,0.7,216.5,Moderate,58.1
26,11.6,4.6,5.2,1.5,78,277,3.1,8.2,7.1,44,9,6,6.7,11.3,0.267,0.612,0.0,105.7,High,62.7
31,3.5,0.5,1.5,0.4,79,131,4.7,4.7,4.4,28,6,8,1.9,2.4,1.0,1.0,2.8,92.1,Moderate,71.5
31,3.5,0.8,5.8,4.1,76,224,3.2,4.6,4.9,40,4,8,9.9,10.7,0.914,1.0,2.9,98.4,High,81.3
16,1.6,8.0,5.7,3.4,57,46,1.1,9.6,7.3,55,7,9,9.1,17.1,0.688,1.0,0.0,61.6,Low,84.2
24,12.0,2.6,1.5,2.4,170,90,3.6,3.2,5.7,87,7,5,3.9,6.5,0.3,0.475,4.3,179.0,Moderate,54.2
43,11.0,6.0,2.1,2.2,45,195,3.2,4.0,5.6,15,4,2,4.3,10.3,0.291,0.509,3.5,64.5,High,53.6
42,8.1,6.5,5.4,1.3,170,221,4.9,7.0,4.7,11,2,3,6.7,13.2,0.605,0.58,0.5,192.1,High,52.9
21,13.7,6.9,5.8,4.0,168,267,1.1,8.2,5.1,65,9,2,9.8,16.7,0.08,0.372,0.0,194.7,High,50.2
31,13.1,8.0,2.7,5.8,158,137,3.0,6.8,6.4,61,8,9,8.5,16.5,0.229,0.489,0.7,171.7,High,58.0
44,9.8,1.9,1.9,1.1,36,28,3.9,5.5,7.8,18,5,6,3.0,4.9,0.398,0.796,2.0,38.8,Low,68.2
18,14.0,0.3,3.2,3.6,81,105,1.7,9.8,6.4,29,5,1,6.8,7.1,0.121,0.457,0.0,91.5,Moderate,63.9
35,4.1,3.3,4.1,2.5,110,42,1.9,7.9,5.7,15,1,3,6.6,9.9,0.463,1.0,0.0,114.2,Moderate,77.0
43,2.7,1.0,1.6,2.7,199,259,4.4,8.8,1.1,87,9,7,4.3,5.3,1.0,0.407,0.0,224.9,Moderate,63.5
42,5.0,0.2,4.4,1.5,105,92,2.0,3.3,6.5,12,10,7,5.9,6.1,0.4,1.0,4.2,114.2,Moderate,62.6
19,1.9,2.9,0.3,5.0,137,46,3.1,4.7,5.9,68,8,5,5.3,8.2,1.0,1.0,2.8,141.6,High,69.8
34,9.0,6.3,0.3,2.9,35,100,4.4,5.6,6.2,22,5,3,3.2,9.5,0.489,0.689,1.9,45.0,High,58.2
41,15.0,4.5,2.3,3.3,75,103,1.0,4.3,1.8,61,10,7,5.6,10.1,0.067,0.12,3.2,85.3,Moderate,48.2
18,1.6,2.5,2.1,1.8,149,218,4.9,3.5,7.2,119,6,5,3.9,6.4,1.0,1.0,4.0,170.8,Moderate,68.0
34,2.8,5.2,1.9,1.1,31,62,3.5,4.6,0.8,101,10,6,3.0,8.2,1.0,0.286,2.9,37.2,High,57.0
35,7.8,1.9,2.9,0.5,26,282,2.5,6.7,2.0,30,10,3,3.4,5.3,0.321,0.256,0.8,54.2,Moderate,55.7
22,15.0,0.1,1.9,4.3,16,111,2.2,7.9,5.3,52,8,6,6.2,6.3,0.147,0.353,0.0,27.1,Moderate,66.3
35,5.7,6.1,1.2,1.2,116,103,4.8,8.4,5.4,119,6,7,2.4,8.5,0.842,0.947,0.0,126.3,Low,72.7
24,8.6,5.0,1.9,4.1,77,319,1.0,3.3,2.5,16,10,8,6.0,11.0,0.116,0.291,4.2,108.9,High,51.2
16,1.6,6.1,5.8,2.3,137,315,1.6,6.0,5.6,48,4,2,8.1,14.2,1.0,1.0,1.5,168.5,Moderate,71.7
23,3.2,0.3,2.5,2.5,46,154,1.5,3.9,3.1,48,3,2,5.0,5.3,0.469,0.969,3.6,61.4,Moderate,73.2
22,15.8,6.7,2.7,2.8,47,300,1.4,6.0,0.0,66,7,6,5.5,12.2,0.089,0.0,1.5,77.0,Moderate,48.5
33,15.5,5.0,3.5,2.2,105,78,2.3,6.0,1.3,25,2,8,5.7,10.7,0.148,0.084,1.5,112.8,Moderate,53.2
23,1.1,4.5,5.9,0.6,148,260,4.9,6.5,7.1,12,7,5,6.5,11.0,1.0,1.0,1.0,174.0,Moderate,61.9
16,15.3,5.0,1.4,1.9,10,117,4.4,9.2,1.8,107,1,1,3.3,8.3,0.288,0.118,0.0,21.7,Moderate,51.8
26,10.6,6.9,4.1,4.0,162,81,1.6,8.6,0.9,37,10,1,8.1,15.0,0.151,0.085,0.0,170.1,High,38.8
43,14.0,4.7,4.3,4.0,51,283,2.1,7.5,5.5,21,5,10,8.3,13.0,0.15,0.393,0.0,79.3,Moderate,70.9
40,7.8,4.6,3.6,1.7,189,132,3.3,9.2,3.5,84,9,9,5.3,9.9,0.423,0.449,0.0,202.2,High,64.3
40,8.7,7.9,0.5,2.8,161,165,0.1,7.7,6.4,28,1,4,3.3,11.2,0.011,0.736,0.0,177.5,Moderate,66.2
33,8.3,6.1,4.1,1.2,190,235,4.1,8.7,6.9,44,8,10,5.3,11.4,0.494,0.831,0.0,213.5,High,65.8
38,11.0,3.5,0.4,1.3,193,275,4.4,6.9,6.8,45,9,1,1.7,5.2,0.4,0.618,0.6,220.5,High,47.4
25,3.1,5.7,3.6,0.1,72,335,4.3,6.7,2.5,38,9,8,3.7,9.4,1.0,0.806,0.8,105.5,Moderate,62.9
18,1.4,3.1,4.4,5.4,90,335,1.9,8.1,4.0,68,8,2,9.8,12.9,1.0,1.0,0.0,123.5,Moderate,72.5
22,5.6,1.8,1.3,1.3,17,277,2.3,3.1,5.2,77,4,2,2.6,4.4,0.411,0.929,4.4,44.7,Moderate,73.6
43,11.6,4.8,5.0,1.4,196,213,0.1,7.8,2.6,81,7,1,6.4,11.2,0.009,0.224,0.0,217.3,High,52.4
31,4.0,7.4,0.2,1.7,182,33,2.0,9.5,0.3,67,1,1,1.9,9.3,0.5,0.075,0.0,185.3,Moderate,60.4
41,11.1,7.4,5.1,0.8,36,323,2.3,8.0,4.0,96,7,9,5.9,13.3,0.207,0.36,0.0,68.3,High,69.2
31,15.5,2.7,2.8,3.8,61,122,4.5,3.3,0.1,38,6,1,6.6,9.3,0.29,0.006,4.2,73.2,High,34.2
40,2.4,4.2,1.3,0.5,155,264,4.5,5.6,7.6,19,5,6,1.8,6.0,1.0,1.0,1.9,181.4,Low,67.5
35,11.1,1.7,0.8,0.8,100,264,4.8,8.7,6.4,76,1,7,1.6,3.3,0.432,0.577,0.0,126.4,Low,76.8
43,7.7,8.0,5.7,3.9,95,331,4.4,9.7,1.5,99,8,4,9.6,17.6,0.571,0.195,0.0,128.1,High,52.4
32,14.0,7.8,0.4,2.0,25,287,0.0,5.6,2.3,108,10,5,2.4,10.2,0.0,0.164,1.9,53.7,Moderate,46.6
17,3.7,5.2,1.2,4.2,75,243,3.2,8.9,7.9,67,1,4,5.4,10.6,0.865,1.0,0.0,99.3,Moderate,82.5
16,11.4,6.4,2.1,3.3,14,239,0.3,9.0,3.0,34,1,4,5.4,11.8,0.026,0.263,0.0,37.9,Moderate,65.4
31,13.6,5.7,3.7,1.5,91,330,1.4,3.9,6.3,7,3,10,5.2,10.9,0.103,0.463,3.6,124.0,High,63.0
27,15.2,4.7,3.3,3.9,140,236,2.9,8.9,3.6,51,8,1,7.2,11.9,0.191,0.237,0.0,163.6,High,45.2
20,11.2,0.4,0.8,0.7,127,23,3.5,5.3,6.9,39,8,6,1.5,1.9,0.312,0.616,2.2,129.3,Moderate,59.8
20,8.5,3.6,1.7,3.2,90,55,3.3,7.2,5.6,112,7,10,4.9,8.5,0.388,0.659,0.3,95.5,Moderate,77.9
42,10.3,5.4,1.4,2.6,79,197,0.2,6.8,0.2,110,5,10,4.0,9.4,0.019,0.019,0.7,98.7,Moderate,70.0
38,14.0,5.4,1.3,1.6,124,276,0.5,7.6,2.4,35,8,7,2.9,8.3,0.036,0.171,0.0,151.6,Moderate,54.0
24,9.6,3.0,2.5,3.6,16,36,0.6,8.2,4.5,5,2,7,6.1,9.1,0.062,0.469,0.0,19.6,Moderate,76.3
24,1.5,7.5,4.2,5.2,59,218,0.5,6.1,7.4,119,8,8,9.4,16.9,0.333,1.0,1.4,80.8,Moderate,78.5
18,15.0,1.3,1.3,6.0,151,337,0.9,9.2,0.8,85,2,7,7.3,8.6,0.06,0.053,0.0,184.7,Moderate,65.5
34,11.3,4.0,2.2,3.6,175,67,3.4,8.7,4.8,69,10,6,5.8,9.8,0.301,0.425,0.0,181.7,Moderate,56.6
31,11.1,5.5,2.3,2.4,120,81,4.2,8.5,2.4,105,5,8,4.7,10.2,0.378,0.216,0.0,128.1,High,64.0
31,4.2,5.6,5.9,1.4,56,88,2.0,6.2,7.1,99,4,3,7.3,12.9,0.476,1.0,1.3,64.8,Moderate,79.9
18,10.9,5.2,5.7,1.5,121,166,3.5,3.3,6.1,72,1,9,7.2,12.4,0.321,0.56,4.2,137.6,High,67.4
35,6.9,2.2,4.8,2.9,170,181,1.0,6.4,3.0,15,5,3,7.7,9.9,0.145,0.435,1.1,188.1,Moderate,62.9
39,10.8,1.2,1.4,2.2,52,246,4.9,9.3,1.3,102,7,4,3.6,4.8,0.454,0.12,0.0,76.6,Moderate,59.5
37,2.6,5.1,0.4,5.5,100,249,1.7,4.3,0.1,45,1,10,5.9,11.0,0.654,0.038,3.2,124.9,Moderate,72.0
39,10.9,4.8,1.9,2.2,38,197,4.2,9.9,5.0,58,2,6,4.1,8.9,0.385,0.459,0.0,57.7,Moderate,72.7
16,16.0,1.4,1.6,2.2,137,75,4.7,8.7,3.2,37,9,8,3.8,5.2,0.294,0.2,0.0,144.5,Moderate,50.2
39,1.7,5.6,3.0,2.3,194,97,4.3,8.0,2.5,96,5,3,5.3,10.9,1.0,1.0,0.0,203.7,Moderate,63.3
35,15.7,3.6,4.7,5.0,142,289,0.3,7.7,7.9,17,7,10,9.7,13.3,0.019,0.503,0.0,170.9,Moderate,64.4
26,7.1,5.3,5.1,3.9,105,225,3.3,7.1,3.7,11,2,6,9.0,14.3,0.465,0.521,0.4,127.5,High,65.3
32,14.1,6.7,5.1,3.7,197,300,0.6,8.0,6.0,53,7,5,8.8,15.5,0.043,0.426,0.0,227.0,High,57.9
23,12.7,1.4,2.2,2.0,126,247,0.0,6.0,1.4,90,7,5,4.2,5.6,0.0,0.11,1.5,150.7,Moderate,58.5
19,9.5,0.2,4.1,4.9,79,258,0.3,8.9,0.1,46,7,5,9.0,9.2,0.032,0.011,0.0,104.8,Moderate,64.9
21,12.1,6.2,1.9,0.2,139,307,4.6,7.9,3.3,0,5,9,2.1,8.3,0.38,0.273,0.0,169.7,High,53.8
23,14.2,4.9,0.4,5.2,79,101,4.5,8.4,5.3,14,9,7,5.6,10.5,0.317,0.373,0.0,89.1,Moderate,51.1
35,7.1,5.6,4.2,3.1,119,269,1.1,8.5,4.1,110,2,9,7.3,12.9,0.155,0.577,0.0,145.9,Moderate,83.0
18,5.9,6.7,0.1,2.4,180,212,2.7,3.6,7.1,90,4,9,2.5,9.2,0.458,1.0,3.9,201.2,Moderate,71.9
31,11.0,6.4,2.5,3.0,141,125,4.8,3.4,3.5,79,2,6,5.5,11.9,0.436,0.318,4.1,153.5,High,52.6
40,13.1,7.7,2.0,4.0,65,208,2.5,8.6,2.5,20,8,6,6.0,13.7,0.191,0.191,0.0,85.8,Moderate,49.0
18,12.4,4.3,4.2,0.1,196,295,2.0,4.8,7.3,0,1,4,4.3,8.6,0.161,0.589,2.7,225.5,High,52.2
40,13.0,3.9,4.6,5.2,98,93,2.4,7.1,3.3,92,9,8,9.8,13.7,0.185,0.254,0.4,107.3,High,60.3
44,7.5,3.2,1.8,2.7,146,29,4.0,6.1,2.2,66,5,2,4.5,7.7,0.533,0.293,1.4,148.9,Moderate,58.8
33,13.3,1.2,4.9,2.1,140,142,2.4,3.2,0.8,11,3,5,7.0,8.2,0.18,0.06,4.3,154.2,High,45.9
29,2.8,4.6,1.8,0.8,185,235,3.9,3.3,6.3,27,4,1,2.6,7.2,1.0,1.0,4.2,208.5,Moderate,57.7
33,9.2,2.2,2.7,2.6,180,309,2.2,8.8,6.6,38,1,10,5.3,7.5,0.239,0.717,0.0,210.9,Moderate,81.7
17,1.1,7.4,4.4,3.0,109,59,1.3,7.3,0.3,36,3,2,7.4,14.8,1.0,0.273,0.2,114.9,Moderate,62.0
37,5.9,4.7,4.2,2.4,138,212,1.6,6.7,2.9,94,8,1,6.6,11.3,0.271,0.492,0.8,159.2,Moderate,59.2
18,6.5,4.7,5.9,4.1,66,146,0.4,9.6,6.0,59,2,6,10.0,14.7,0.062,0.923,0.0,80.6,Moderate,87.2
31,6.9,2.8,1.4,2.5,190,308,2.5,4.2,7.6,30,2,2,3.9,6.7,0.362,1.0,3.3,220.8,Moderate,62.4
44,11.4,0.4,4.0,5.8,153,90,0.7,4.8,3.0,57,9,4,9.8,10.2,0.061,0.263,2.7,162.0,Moderate,53.9
24,6.8,0.3,3.7,3.6,60,156,4.1,8.3,7.0,96,5,5,7.3,7.6,0.603,1.0,0.0,75.6,Low,81.6
19,7.7,3.4,5.5,4.8,121,163,2.1,8.4,3.1,96,5,7,10.3,13.7,0.273,0.403,0.0,137.3,Moderate,76.3
16,4.6,0.7,0.9,0.7,113,318,3.8,5.8,1.4,110,1,10,1.6,2.3,0.826,0.304,1.7,144.8,Low,78.8
19,6.6,4.9,4.5,2.4,136,288,4.8,9.7,0.0,103,6,1,6.9,11.8,0.727,0.0,0.0,164.8,Moderate,52.4
16,4.4,7.0,3.4,2.0,64,158,4.2,9.6,2.6,10,8,5,5.4,12.4,0.955,0.591,0.0,79.8,Moderate,57.0
29,2.1,7.1,1.6,3.4,10,71,4.8,3.1,3.0,109,6,4,5.0,12.1,1.0,1.0,4.4,17.1,High,57.9
